CO.GT, NO.GT, T, RH, AH
3.4,261,29.1,22,0.8702
2.9,219,27.2,22.5,0.7962
2.7,180,25.3,24.6,0.7796
1.3,108,24.9,27.2,0.8429
1.3,98,23.5,32.2,0.922
0.9,57,23.5,32.7,0.9349
0.6,36,24.1,32,0.9467
0.5,0,22.6,34.8,0.9441
0.5,45,20.8,40.2,0.9725
0.9,87,18.8,46.6,1.0027
0.7,62,19.8,46,1.0524
0.6,65,21.3,42.3,1.0625
1.3,125,21.3,41.8,1.0449
1.9,157,24,36.6,1.0772
2.1,171,27.2,30.7,1.0884
1.8,119,32.3,23.6,1.1271
1.8,110,31.9,25.8,1.2023
1.6,95,35.1,21.8,1.2093
1.2,58,36,20.5,1.1995
1.2,69,37,20.1,1.2423
1.4,76,36.4,21,1.2515
1.3,63,35.2,22.6,1.267
1.1,51,32.5,27.6,1.3229
1.1,46,29.1,35.1,1.3919
1.1,52,26.9,39.7,1.3898
1.8,84,26.1,42.2,1.4039
2.3,130,25.5,43.8,1.4095
2.6,147,24.9,45.6,1.4135
2,126,25.2,45.2,1.4262
1,47,25.4,45.5,1.457
0.6,24,26.2,43.6,1.4599
0.6,0,24.3,48.2,1.4476
0.5,25,24.4,48.3,1.4499
0.4,21,23.3,51,1.4346
0.4,25,21.6,48.1,1.2259
0.4,25,21.4,47.8,1.2005
0.4,30,20.5,46.8,1.1152
0.5,42,20.8,40.7,0.9882
0.6,52,22.3,35.3,0.9371
0.7,62,21.7,38.3,0.9842
0.7,67,24.4,29.6,0.8921
0.6,47,23.4,34.9,0.991
0.5,35,23.5,35.2,1.0019
0.6,45,22.4,39,1.04
0.8,53,22,41.7,1.0865
0.8,57,21.7,42.7,1.0949
1,71,20.7,43.4,1.047
1,67,20.3,42.6,1.0045
1,75,20.3,44.1,1.0392
0.9,65,20.1,45.2,1.0538
0.7,45,19.8,45.7,1.0424
0.8,46,19.6,45.3,1.0244
0.7,33,19.4,45.9,1.0242
0.5,19,19.7,44.8,1.0172
0.3,9,19.5,46.3,1.0363
0.3,0,19,49,1.063
0,12,19.1,50.7,1.109
0.3,21,19.1,52.7,1.1545
0.7,66,20.3,49.3,1.1596
1.5,137,21.1,46.2,1.1389
1.8,151,21.5,44.5,1.129
1.4,115,22.4,43.6,1.1637
1.5,118,24.8,39.1,1.2039
1.2,95,23.9,42.1,1.2335
1.2,86,25.5,38.3,1.2328
1.3,85,25.4,39.2,1.2534
1,66,25.6,37,1.2006
1.4,74,24.5,38.4,1.1669
1.6,108,23.9,39.9,1.1639
2.7,150,24.2,39.2,1.1665
2.3,157,23.5,41.2,1.1759
1.5,93,22.3,44.9,1.1973
1.4,76,21.7,46.5,1.1917
1,57,22,44.9,1.1699
1.1,64,22.2,44.1,1.1654
1.2,59,21.8,45.6,1.1763
1.2,68,21.6,46,1.1742
0.7,31,21.6,45.8,1.1715
0.5,21,20.7,48.3,1.168
0.4,0,21,47.1,1.1546
0.4,24,20.8,48.5,1.18
0.5,38,20.8,49.4,1.1994
1,92,19.9,51.8,1.1911
4.4,311,20.9,49.3,1.2049
4,260,23.7,39.9,1.1508
2.4,181,25.3,35.8,1.1421
2.1,177,28.8,29.1,1.1349
2.7,180,30.3,26.9,1.1399
2.8,174,32.8,23.3,1.138
2.3,140,33.9,21.4,1.1135
2,122,35.3,19.6,1.1036
2.6,189,34,20.8,1.0898
2.7,169,35.3,18.8,1.0572
3.1,172,32.6,24.1,1.1688
3.1,154,30.8,28.7,1.2507
3.6,192,28.7,31.2,1.2099
2.9,160,26.8,35.1,1.2201
2.2,110,25.3,39.4,1.2524
2,97,23.9,40.9,1.1966
2.1,124,23,44.4,1.2354
1.9,108,22.2,53.9,1.4237
1.4,61,20.9,59.8,1.4659
0.8,34,21.3,58.1,1.457
0.6,0,20.8,58.4,1.4189
0.6,24,20.3,58.9,1.3878
0.5,27,21.3,54.5,1.3682
1,70,20.6,57.4,1.3753
2.7,176,21.3,56.9,1.4226
5,310,22.9,52.4,1.4442
3.3,221,24.1,46.5,1.3802
2.4,168,27.1,38.8,1.3705
1.7,109,28.4,34.4,1.314
1.7,102,30.1,30.9,1.2958
2.4,129,32.7,25.8,1.2547
2.2,117,32.4,25.7,1.2271
2.2,112,33.6,24.4,1.2472
2.3,122,33,26,1.2877
2.6,114,33.2,23.7,1.1855
2.3,111,31.3,25.4,1.1415
3.3,158,28.3,31.7,1.1968
3.5,202,26.5,35,1.1981
2.5,166,24.4,40,1.2079
2.5,143,23.3,43.4,1.2251
2.4,122,22.5,45.3,1.2226
2.5,113,21.8,47.8,1.2325
2.1,109,20.9,51,1.2446
1,53,20.8,51.7,1.2572
0.8,0,19.3,57.1,1.2661
0,32,18.8,58.6,1.2581
0.5,35,20.2,53.8,1.2569
1.3,123,18.3,60.8,1.2635
3.6,254,20.2,54.5,1.2777
4.8,300,21.9,49.9,1.2957
3.7,281,25.2,43,1.3548
1.9,169,28,36.6,1.3603
1.7,152,27.1,38.3,1.3548
1.9,127,27.4,37,1.3319
1.8,118,29.4,32.9,1.3244
1.7,120,31.3,28.7,1.2885
1.8,125,31.5,28.7,1.3058
1.7,117,30.9,30.3,1.3306
2.8,166,31.4,30.3,1.3689
3.6,180,30.7,31.4,1.3686
3.3,172,29,33.4,1.3169
2.9,160,27.3,37.5,1.342
1.7,103,25.8,40.9,1.3389
1.7,87,25.2,43,1.358
2.8,147,24.6,45.8,1.394
1.8,120,24,47.3,1.3914
1,63,23.5,48.3,1.3777
0.5,30,24,45.8,1.3467
0.4,0,22.2,50.7,1.3405
0.3,19,22.8,48.1,1.3184
0.4,27,21.9,50.1,1.3002
0.8,65,20.4,54.1,1.28
2.2,169,20.8,52.6,1.2758
4.4,244,22.8,47.9,1.3156
3.7,274,25.2,42.9,1.3552
2.5,202,29.3,34.8,1.397
2.5,186,33.3,27.8,1.4013
2.3,153,34.9,24.9,1.363
2,112,36.1,22.7,1.3324
2,117,37.6,21.1,1.3478
2.1,109,37.3,21.9,1.3761
2.4,133,37.2,21.6,1.3514
3.1,185,35.6,23.4,1.341
2.9,167,33.1,24.3,1.2087
3.5,218,30.5,29.5,1.2635
2.9,171,28.7,35.8,1.3834
1.5,78,26.6,42.2,1.4452
1.7,84,25.2,46.6,1.4733
2.2,110,24.7,47.7,1.4649
1.6,87,24.4,47.4,1.4301
1,58,23.3,49.9,1.4135
0.6,39,23.8,47.3,1.3783
0.6,0,22.9,50.2,1.3808
0.6,38,21.2,55,1.3689
0.5,41,21.7,52.6,1.35
0.5,47,22.8,48.9,1.3424
0.9,72,23.5,47.6,1.3611
1.4,100,24.6,44.9,1.3661
1.6,104,27,39.9,1.402
1.6,109,29.3,35.9,1.4411
1.7,103,31.2,32.4,1.4517
1.7,75,34.4,26.6,1.423
1.5,72,36.1,22.1,1.3004
1.2,56,-200,-200,-200
1.2,51,-200,-200,-200
1.1,52,-200,-200,-200
1,46,-200,-200,-200
1.1,44,-200,-200,-200
1.6,72,-200,-200,-200
1.7,88,-200,-200,-200
1.4,56,-200,-200,-200
1.7,82,-200,-200,-200
2.4,125,-200,-200,-200
2.3,144,-200,-200,-200
1.2,54,-200,-200,-200
1,48,-200,-200,-200
1.4,0,-200,-200,-200
0,41,-200,-200,-200
1,40,-200,-200,-200
0.9,48,-200,-200,-200
0.8,44,-200,-200,-200
1,59,-200,-200,-200
1.2,59,-200,-200,-200
1.2,53,-200,-200,-200
1,42,-200,-200,-200
1,43,-200,-200,-200
0.6,23,-200,-200,-200
0.7,22,-200,-200,-200
0.8,37,-200,-200,-200
1.1,53,-200,-200,-200
1.4,68,-200,-200,-200
2.8,125,-200,-200,-200
2.5,96,-200,-200,-200
1.6,75,-200,-200,-200
1.4,74,-200,-200,-200
2.3,92,-200,-200,-200
4.2,136,-200,-200,-200
3,119,-200,-200,-200
2.2,76,-200,-200,-200
0.6,21,-200,-200,-200
0.3,0,-200,-200,-200
0.3,15,18.9,55.2,1.1895
0.5,52,18.2,57.6,1.193
1.3,85,18.6,56,1.1865
2.5,177,20.8,48,1.1702
3.7,232,23.3,38.6,1.0919
2.5,201,25.1,32.4,1.017
1.8,134,27.8,25.8,0.9473
1.5,104,29.6,21,0.8548
1.5,89,30.2,18,0.7613
1.2,66,30.1,18.5,0.7747
1.4,85,29.5,19.4,0.7872
1.6,105,31.1,18.2,0.8079
1.6,99,30.3,19,0.8103
2.2,132,30.1,19.3,0.8083
3,186,28.6,22.3,0.859
3,174,26.1,28.3,0.9407
2.7,149,24.5,35.7,1.0807
2.1,114,23.1,41.5,1.1582
1.6,92,21.8,46.3,1.1913
1.3,75,20.9,48.9,1.1945
1.1,74,20.5,49.9,1.1903
0.7,35,20,50.9,1.1794
0.4,22,22.1,44.3,1.1665
0.2,0,21,47.5,1.1666
0.2,24,19.8,50.3,1.1444
0.3,30,19,52.8,1.1489
0.9,93,17.8,56.5,1.1375
3.1,332,18.2,55.8,1.1529
5,387,20.6,47.7,1.1448
2.8,267,22.8,41.9,1.1496
2.8,269,27.1,31.7,1.1147
2.1,193,30.4,26.4,1.131
3.1,239,31.1,26.2,1.1647
3,232,31.4,25.3,1.1444
2.1,152,30.8,26.7,1.168
1.7,115,31.8,25.6,1.1868
2.2,169,33.5,22.9,1.1649
3.5,226,33.1,23.5,1.1673
3.6,218,31.7,25.9,1.1883
4.1,245,29,30.4,1.2013
4,236,27.4,33.6,1.2095
1.8,104,25.2,36.4,1.1528
1.7,104,24,39.6,1.1662
2.4,144,23.8,39.6,1.1558
1.2,79,22.9,43.6,1.1974
0.8,51,22.8,43.9,1.202
0.5,38,21.8,47.3,1.2189
0.3,0,21.7,47.3,1.2135
0,24,20.8,50.3,1.2207
0.4,30,21.7,46.8,1.2031
1,73,20.3,52.3,1.2367
3.8,305,20.5,52.3,1.245
3.2,295,21.7,49.6,1.2673
3.5,331,24,43.1,1.2677
3.2,304,28.5,31.7,1.2144
2.3,210,32.2,25.1,1.189
2.2,163,34.9,20.5,1.1279
2.1,132,35.4,19.9,1.1222
1.9,126,34.4,22.5,1.205
2.4,150,34.8,22.8,1.2488
2.5,171,34.3,22.4,1.1907
3.6,234,32.5,25.3,1.2165
3.9,251,31.3,27.3,1.2234
4.4,294,30.2,29,1.2224
4.8,300,28.5,33.3,1.2775
2.5,159,27.3,35.3,1.2606
2.8,176,26.1,37.8,1.2575
3.2,192,24.7,47.1,1.44
2.6,152,23.6,59.8,1.7193
1.5,63,23.3,60.5,1.706
1,35,23.3,59.4,1.6753
0.8,0,22.9,57.7,1.5902
0.6,21,23.7,53.5,1.546
0.6,41,21.2,60.9,1.5092
0.7,48,22.1,56.2,1.48
1.2,102,21.9,57,1.4742
1.5,111,24.7,45.9,1.4061
1.3,93,27,40.8,1.4286
1.6,118,29.1,37.4,1.4833
1.5,93,31.1,32.4,1.4351
1.2,56,31.9,30.3,1.4125
1.1,51,32.8,28.9,1.412
1.2,52,33.4,27.8,1.4119
1.3,59,35.3,23.7,1.3331
1.4,62,35.8,22.4,1.2915
1.6,85,35.3,20.8,1.1664
2.1,109,33.3,23.9,1.2085
3,168,30.3,30.8,1.3044
2.8,166,28.3,34.5,1.3084
3.8,149,27.1,38.9,1.3758
3.2,118,25.4,43.2,1.3805
4.1,160,24.6,45.3,1.3767
2.6,124,23.7,46,1.3346
2,95,23,48.1,1.3322
0.9,34,24.8,43.4,1.3366
0.7,0,23.1,47.4,1.3208
0.6,45,21.7,50.2,1.2917
0.6,35,21.9,50.7,1.3138
1.6,141,20.1,57,1.3216
2.6,199,21.5,51.8,1.3129
2.9,224,22.9,48.7,1.3416
2.8,245,25.7,41,1.3351
1.9,153,29.9,33.2,1.3793
1.9,145,32.9,28,1.3789
2.1,130,34,25.6,1.3363
1.9,95,34.7,22.6,1.2297
1.6,88,35.5,20.3,1.1586
1.6,89,35.9,18.8,1.0912
2.1,127,36.2,18.6,1.0945
2.4,149,35.4,15.3,0.8613
2.8,170,32.9,15.5,0.7649
3.4,210,29.9,19.8,0.8211
3.4,230,28.1,22.4,0.8394
2.7,203,26.1,24.7,0.8233
2.6,174,25,28.7,0.8944
2.3,164,24.3,31,0.9268
1.2,76,24,31.2,0.919
1,52,22.4,34.9,0.9362
0.9,47,21.2,37.6,0.9355
1.1,0,19.5,42.3,0.9461
0,37,21.2,39.4,0.9802
0.4,41,19.5,42.4,0.9515
0.9,74,18.6,45.8,0.9723
1.8,168,19.7,44.1,1.0039
2.2,176,21.9,39.4,1.0243
2.4,184,24.5,34.3,1.0407
2.3,187,30,25.6,1.0674
1.6,118,34.5,18.9,1.0168
1.4,89,36.3,17.5,1.0411
1.4,70,37.7,16,1.0231
1,51,38.3,15.8,1.0465
1,52,38.4,17.5,1.1609
1.2,70,37.2,20.5,1.2813
1.3,80,34,26.4,1.3781
1.5,90,32.3,30.4,1.445
1.9,111,30.5,33.9,1.4564
1.8,107,29.2,37.8,1.5098
1.4,73,28.4,39.1,1.4881
1.7,75,27.7,40.6,1.4828
2.7,144,27.2,42.5,1.5069
2.1,120,26.5,44.8,1.528
1.4,71,25.5,47.6,1.5318
1,40,25.2,47.8,1.5076
1,0,23.2,53.7,1.5046
0.8,34,23.2,52.3,1.4668
0.5,27,24,50.3,1.4811
0.6,30,23.5,51.2,1.4634
0.6,40,23.5,50.8,1.452
1,56,24.7,47.6,1.4597
1.6,104,27.2,41.1,1.4611
1.9,121,31,32.4,1.4294
1.7,100,35.2,24.8,1.3854
1.1,59,37.8,18.5,1.1977
0.8,42,39,15.1,1.0424
0.7,38,41.3,12.8,0.9933
0.7,40,41.8,11.9,0.9476
1.2,70,42.2,14.2,1.1609
1.6,95,41.4,15.5,1.2089
1.6,90,38.9,21.4,1.4605
1.7,90,34.3,26,1.3865
2,111,32.7,27.7,1.3439
2.3,135,30.5,30.4,1.3031
2.4,146,29,33.6,1.3277
1.7,100,28.2,36.6,1.3781
1.2,69,27.2,38.9,1.3821
1,47,26.7,40,1.3754
0.6,26,26,41.2,1.3598
0.5,0,22.8,50.1,1.3677
0.4,24,24,46.6,1.37
0.5,55,24,46.4,1.3689
0.7,47,23.7,47.1,1.3602
3.2,209,23.6,47.3,1.3634
5.6,348,25.5,43.1,1.3891
4.6,337,28.5,36.8,1.4128
3.3,280,32.6,28,1.3566
2.1,169,36.3,23.4,1.3902
1.9,126,37.5,21.5,1.3673
1.9,108,39.6,19,1.3447
1.6,93,40.1,19.3,1.4013
2,112,40.4,20,1.4854
1.8,110,39.9,20.1,1.4495
2.9,188,39.1,19.6,1.3542
3.4,203,37,21.9,1.3503
3.1,167,33.9,26.8,1.3899
2.5,116,31.9,30.6,1.4201
1.8,89,29.7,33.9,1.3874
1.8,103,28.6,36.8,1.416
2,100,27.8,38.7,1.4187
1.5,86,27.8,40,1.4691
0.8,52,27.5,41.3,1.4962
0.4,27,27.3,41.6,1.4906
0.3,0,26,44.2,1.4657
0,35,24.8,48,1.4857
0.5,42,25.9,45.1,1.4889
0.7,57,25.3,47.6,1.5108
3.4,228,24.7,49.5,1.5201
5.7,350,27.1,43.1,1.5224
3.2,232,28.3,39.8,1.5053
2.7,206,32.4,32.3,1.5484
2.1,159,35.4,27.8,1.5733
2.8,184,35.5,27.4,1.5635
2.5,136,37.8,24.4,1.5722
2.1,124,37.2,25.5,1.5914
2.5,133,37.2,25.6,1.6014
2.7,156,38,25,1.6312
3.7,200,37.1,26.9,1.6635
3.7,202,36.9,27.8,1.7099
4.6,286,34.7,31.9,1.7325
2.6,141,31.9,38.4,1.7897
2.5,117,30.5,42.3,1.8173
2.3,110,29.3,45.8,1.8362
2.2,100,28.2,48.1,1.8144
2.5,112,27.3,51,1.8287
0.9,35,26.8,52.4,1.8141
0.8,33,26,54.9,1.8141
0.7,0,26.8,51.9,1.8058
0.5,28,26.9,51.8,1.805
0.7,49,24.6,59.1,1.8013
0.9,81,26.4,53.1,1.7987
2.2,178,27.3,46.4,1.6542
2.8,223,28.4,40.4,1.5442
2.9,290,30.8,37.1,1.6169
2.9,274,34.2,30.7,1.6252
3,278,37,26.5,1.6352
2.5,152,36.6,27.8,1.676
2.3,118,36.9,26.9,1.6477
2.1,141,39.3,22.2,1.552
1.9,131,38.5,22.4,1.5018
2.3,171,39.7,20.4,1.4594
4.2,287,38.8,24.2,1.6433
4.9,267,33.5,38,1.939
4.9,280,34,32.9,1.7251
3.5,224,31.9,33.7,1.5663
2.5,137,30.2,37.6,1.587
2.5,118,28.9,41,1.6096
2.6,128,27.8,45.2,1.6604
2.3,111,27.1,47.4,1.6701
1.5,66,26.2,49.4,1.6555
0.9,36,26.9,49.3,1.7196
0.6,0,26.3,50.8,1.7058
0.6,31,24.9,54.6,1.6908
0.8,75,23.4,58.6,1.6651
0.9,66,24.4,55.2,1.6604
2.4,154,25.1,54.3,1.7057
3.9,239,26.6,51.2,1.7565
2.9,246,28.2,47.1,1.7752
2.7,261,31.6,39.4,1.7969
2,179,34.2,31.8,1.6837
2.4,159,36.6,27.1,1.6352
2,111,37.6,26.9,1.715
1.8,101,38.1,26.3,1.7213
1.9,118,37.8,26.9,1.7392
1.8,120,37.8,22.7,1.4653
2.9,177,36.9,24.7,1.5134
3.3,186,34.5,28.5,1.531
4.4,235,32.5,30.9,1.4875
3.4,195,30.9,30.4,1.338
1.9,106,28.7,34.7,1.3457
2.1,107,27.7,39.3,1.4372
2.5,134,26.8,45.1,1.5645
2.3,117,26.1,45.3,1.5115
1.7,83,25.9,46.1,1.5174
1.5,77,25.3,47.6,1.513
0.8,0,26.6,43,1.4773
0,37,25.3,47.2,1.5025
0.5,50,25.1,48,1.5115
0.8,60,24.8,50.6,1.5654
2.6,179,25.7,49.7,1.615
4.9,300,27.4,45.5,1.6396
2.9,263,29.3,40,1.6082
2.8,265,33.6,28.7,1.4693
1.8,164,34.6,27.7,1.4991
1.8,122,35.6,27.2,1.5557
1.9,125,36.9,23.3,1.4313
1.7,125,38.8,20.7,1.4036
1.7,115,38.1,22.6,1.4868
1.9,162,37.1,23,1.4229
2.1,149,34.8,19.3,1.0543
2.4,161,33.6,20.7,1.059
3,201,31.4,18.5,0.8376
2.8,209,29.5,23.8,0.9623
1.9,133,27.4,27.1,0.9736
2.1,133,26.1,31.1,1.0338
1.8,134,25.5,34,1.0935
2.5,164,24,37.8,1.1125
1.1,72,24.2,37.3,1.1118
0.7,50,23.4,40.6,1.1571
0.7,0,21.8,46.6,1.1991
0.4,27,22.6,43,1.1629
0.7,74,20.2,50.7,1.1844
0.7,69,20.5,49.3,1.176
1.8,162,21.4,48,1.2086
2.3,208,23.2,43.9,1.2344
1.9,168,25.3,40.7,1.2921
1.7,139,29.9,31.1,1.2883
1.3,104,33.9,21.3,1.1067
1.5,99,36.3,16,0.9465
1.3,89,36.6,15.2,0.9177
0.8,57,37.4,15.8,0.9998
0.8,64,37.9,15,0.9721
1.1,65,38,16.8,1.0933
1.2,79,36.9,17.5,1.0789
1.2,80,35.3,17,0.9561
1.4,81,31.9,20.4,0.9462
1.1,59,29.1,29.6,1.1792
1.5,90,27.4,33.4,1.2022
2,122,26.7,35.8,1.2318
1.9,120,25.2,42.7,1.3473
2.2,126,24,51.9,1.5252
1.1,68,24.5,44.4,1.3476
1.1,65,22.6,51,1.3805
0.8,0,22.2,52.7,1.3891
0.6,38,21.2,56.8,1.4094
0.6,31,20.3,59.6,1.3994
0.6,40,21.3,56.7,1.4178
0.6,36,23,54.6,1.5177
1.1,64,23.7,54.3,1.5731
1,56,25.4,49.3,1.5732
1,56,29.6,37.7,1.544
1,43,33.9,26.2,1.3664
0.8,40,35.8,22.4,1.2933
0.7,34,37.9,18.8,1.222
0.4,28,38.5,14.8,0.9942
0.5,32,39.3,14.5,1.0149
0.6,39,38.9,15.6,1.0613
0.7,52,37.9,12.7,0.8211
0.9,60,35.8,13.4,0.7749
1.6,104,32.3,19.7,0.9345
1.6,102,30.1,23.5,0.9869
1.7,120,28.2,28.7,1.0806
1.3,89,26,35.7,1.1842
1.9,121,25.3,39.2,1.2452
1.5,107,24.7,38.7,1.1845
0.6,41,25.5,35.7,1.1499
0.4,34,22.5,43.2,1.1589
0.3,0,21.6,46.1,1.1761
0,41,19.7,51.4,1.1688
0.4,38,21.6,45.7,1.1665
0.7,59,21.1,47.3,1.1654
2,165,21.6,44.1,1.1269
3.9,287,23.7,37.9,1.0988
3.6,317,26,30.1,0.9953
3.2,330,30.6,23.2,1.001
2.2,204,34.1,19.1,1.0048
2.2,189,36.2,18,1.0636
2.1,165,37.4,17.3,1.0914
1.8,139,39.5,15.6,1.102
2,156,40.4,14.9,1.1033
1.8,130,40.1,16.1,1.1699
3,173,39.3,18.9,1.3251
4.3,302,37.3,19.9,1.2437
3.5,239,33.6,22.9,1.1747
2.5,139,30.7,28.9,1.2501
1.8,92,28.8,32.8,1.2776
1.9,104,27.3,36.8,1.3207
1.9,108,26.2,39.7,1.3249
1.9,107,25.4,43,1.37
0.9,55,25.8,41,1.3461
0.7,43,23.3,48.4,1.3677
0.6,0,23.5,47.8,1.3607
0.4,23,23.5,46.7,1.3361
0.7,65,21.8,52.3,1.3539
1.6,165,21.8,52.5,1.3529
3.8,274,22.9,49.1,1.3546
5.1,369,24.9,43.3,1.3422
3.4,308,26.7,39.4,1.3556
2.6,227,30.5,32.9,1.4135
2.2,178,34.2,27.2,1.4404
3.4,267,38.2,20.9,1.3701
3.4,278,39.6,16.9,1.2028
1.8,165,39.9,15.8,1.141
2,172,40.2,13.9,1.02
2.4,216,39.6,13.2,0.9332
3.8,306,39.5,12.6,0.8894
4.4,317,37.9,13.9,0.9015
3.9,251,34.2,17.9,0.9444
4,230,32.6,20.6,0.9939
2.5,154,30.4,23.2,0.9889
2.1,137,28.8,25.1,0.9793
2.4,133,27.8,29.9,1.1018
2.1,117,26.9,32.6,1.1381
1.6,106,26.3,33.7,1.1377
0.8,55,25.7,33.9,1.1065
0.5,0,24.8,36,1.1109
0.4,27,25.5,34.6,1.1096
0.5,46,24,37.8,1.1077
1.3,144,23.9,39.3,1.1522
4.1,392,24.8,38.4,1.1808
4.1,358,26.9,34.4,1.2036
4,381,29.6,28.7,1.1706
2.2,261,34.6,21.1,1.1398
2,207,38.3,17,1.1216
2,155,40.4,14.5,1.0736
2.2,193,42.6,9.6,0.8012
2.2,195,42.5,10.2,0.8478
1.8,159,41,11.6,0.8872
1.8,120,41.3,13,1.0154
3.3,228,39.2,14.5,1.0106
4.3,348,36.9,17.9,1.096
5.3,337,35.6,20.4,1.1646
4.3,282,33.7,22.6,1.1658
3.6,228,31.5,27.8,1.2671
2.4,168,31.1,29.3,1.3055
2.1,173,30.2,30.9,1.3026
1.2,87,29.8,30.2,1.2502
0.9,65,28.4,32.5,1.2361
0.6,43,27.5,34,1.231
0.5,0,26.8,35.3,1.2243
0,43,24.5,40.4,1.2251
0.6,66,25.6,38.8,1.2545
0.6,57,27.5,34.6,1.2518
2.2,231,25.9,37.4,1.2289
3.2,219,28.5,32.5,1.2441
3,288,29.5,32.7,1.3229
2.7,312,29.8,33.1,1.3693
3.2,361,33.4,26.8,1.3586
1.4,147,40.3,15.8,1.1604
1.3,111,41.8,15,1.1989
1.4,98,41.1,15.7,1.2071
2.1,156,41.9,14.8,1.1944
2.4,213,40.9,14.6,1.114
3.1,250,39.1,16.9,1.1705
3.5,253,36.4,27.3,1.6308
5.1,317,34.9,29.3,1.611
4.5,309,33.6,26.4,1.3515
2.9,201,32.2,27.6,1.3044
2.6,173,30.5,29.7,1.2742
2.7,156,29.4,35.6,1.4383
3.2,190,29.1,34.8,1.38
2.3,129,27.7,41.9,1.537
1,65,27.9,41.6,1.5425
0.5,0,27.8,43.7,1.6039
0.4,29,27.4,42.2,1.5177
0.6,58,26.6,42.8,1.4713
1,92,26.9,40.3,1.4041
2.9,228,27,37.3,1.3081
2.7,172,27,35.3,1.2396
1.8,154,27.4,32,1.1545
1.8,166,30.5,24.7,1.0592
1.7,149,32.9,20.1,0.9902
1.5,111,33.9,18.4,0.9587
1.7,145,34.4,19.3,1.0325
1.3,105,34.2,19.6,1.0399
1.5,113,33.2,20.4,1.0195
1.5,115,32.4,19.1,0.915
2.3,202,32.2,17.1,0.8124
2.2,180,31,17.1,0.7526
2.8,190,28.3,24.9,0.9412
2.7,207,26.6,30.2,1.033
1.7,113,24.8,36.8,1.1357
1.5,98,23.7,43.4,1.2495
2.3,152,23,46.2,1.2815
2.3,161,22.7,47.7,1.2977
1.5,91,22.2,49.5,1.3081
1,57,21.6,51.9,1.3254
0.5,0,22.3,50.4,1.3379
0.3,22,22.4,49.7,1.3333
0.4,41,21.7,52,1.3313
0.5,53,21.1,53.2,1.3181
0.9,92,22,51,1.3296
1.1,91,25,41.6,1.301
1.4,89,26.7,36.4,1.2596
1.1,81,29.1,29.7,1.1751
0.9,66,31.2,23.4,1.0487
0.8,53,32.4,20.5,0.9806
0.8,61,33.3,19.2,0.9634
0.6,48,33.1,16.8,0.8391
0.6,39,33.1,18.3,0.9081
0.5,41,32.4,18,0.8599
0.7,48,31.8,18.7,0.8624
0.8,50,30.3,21.4,0.9064
0.9,51,27.2,28.2,1.0013
1.3,70,26.1,33.7,1.1228
1.3,89,24.7,38.8,1.1929
1.4,100,23.4,43.2,1.229
1.9,139,23.1,44.2,1.2317
2.3,176,22.7,45.3,1.2299
1,71,21.6,47.5,1.2118
0.5,37,22,45.8,1.1965
1,0,20.4,51.3,1.2131
0.4,30,20.6,50.3,1.2041
0.3,29,20.6,50.6,1.2119
0.2,25,21.3,48.8,1.2189
0.4,40,20.4,52.6,1.247
0.3,32,23.5,44,1.2596
0.6,43,25.7,37.9,1.2334
0.6,44,27.9,33.6,1.2433
0.6,35,29,28.3,1.1116
0.5,32,29.5,25.9,1.0489
0.4,21,31.8,22.3,1.0366
0.2,10,32.2,20,0.9488
0.4,22,32.4,19.3,0.922
0.6,46,33,17.7,0.8758
0.9,66,32,19.8,0.9273
0.7,49,29.6,24.1,0.9831
1.2,86,26.9,27.1,0.948
1.6,111,25.3,30.9,0.9815
1.8,143,24.2,35.9,1.0684
2.4,184,23.2,43.2,1.2104
1.5,134,22.7,43.9,1.1962
0.9,78,21.6,44,1.1244
0.8,50,20.7,46.4,1.1198
0.2,13,21.2,46.2,1.1482
0.1,0,22.7,42.3,1.1491
0,24,19.9,51.3,1.1803
0.5,43,20,51.8,1.1967
1.4,146,18.5,57.4,1.2076
3.3,333,19.6,54.3,1.2278
3.6,298,21.3,49.7,1.2452
1.7,178,21.7,46.3,1.1867
1.5,177,23.4,39.4,1.1172
1.6,172,25.7,33,1.0763
2.1,183,28.5,27.3,1.0479
2.1,164,27,27.9,0.9812
1.6,122,24.2,36.9,1.0966
1.3,105,26,34.9,1.1509
1.6,144,24.8,33.1,1.0222
3.1,220,24,36.3,1.0708
3.3,207,23.6,35.5,1.0187
3.4,210,23.6,35.7,1.0282
2.8,175,23.3,34.5,0.9768
1.5,117,22.5,36.8,0.988
1.3,93,21.3,38.7,0.9686
1.6,118,20.9,39.4,0.9596
1.5,132,19.8,47.7,1.093
1,88,19.3,51.4,1.1387
0.5,43,18.4,53.4,1.117
0.4,0,18.8,51.1,1.1
0.6,44,16.3,59.8,1.1042
0.7,50,16.6,56.8,1.0629
1.3,101,16.2,57.4,1.0515
4,339,17.3,54.3,1.0631
5,379,19.2,48.8,1.0751
3.6,321,21.7,42.4,1.0859
2.8,272,26.4,29.9,1.0138
2.6,278,31.3,19.1,0.8634
2.7,253,33.7,15.4,0.7913
2.3,187,34.5,13.3,0.7158
2,149,33.8,13.9,0.7172
1.3,89,30.1,19.4,0.8157
1.7,124,28.3,21.3,0.8054
2.8,206,31.9,18.3,0.8523
3.8,241,32,20.1,0.9364
4.9,303,28.9,24.1,0.9495
4.3,294,27.3,27.1,0.967
2.6,203,26,28.5,0.9484
